	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
yjeK	227.93474404581	0.100618038498827	0.273927287362431	0.36731659509956	0.713382876857731	0.843837158185212
ldrD	49.3183831198112	-0.316070703209247	0.468967188126115	-0.673971892302728	0.500329183685174	0.68278081016819
aphA	210.796551403462	-0.0404624224713835	0.339730217305506	-0.119101629499731	0.905194839780222	0.949836892982783
yhjV	86.4175434461005	-0.466984862244953	0.378237028793433	-1.2346354975731	0.21696619163633	0.398424478147187
dppF	79.8185267601937	0.253991931488524	0.475096265177632	0.534611509508625	0.592918523222101	0.76017524215387
yhjR	47.2998630009116	-0.678390924939427	0.488390996805638	-1.38903241332559	0.164822893901793	0.330721144762613
yhgE	81.8344381756187	0.0678195840242662	0.37979294336718	0.178569889748317	0.858275438930113	0.925580430315771
bcsF	18.2812745195089	-0.751477045819103	0.711591138463684	-1.05605172015145	0.290944586192203	NA
bcsG	148.06761724844	-0.63905847644297	0.349565576251969	-1.82815048121996	0.0675269704531054	0.179453056592974
dsrB	48.3525886007185	-0.295641824866318	0.463893527559339	-0.63730534552134	0.523925969714373	0.704483910894381
dppD	93.0575786145478	0.688661295621837	0.388434764392871	1.77291364921527	0.0762430165848346	0.196334409313121
dppC	86.213335775573	0.495232353934194	0.376062362095448	1.31688890952746	0.187875864517704	0.36112730094511
yhaK	29.6261386148216	-0.647803268005849	0.630484725756295	-1.02746861508624	0.304199856559645	0.499324655381504
yjjY	16.560286680215	0.788033255540406	0.735671846392683	1.07117495307789	0.284090771414285	NA
rffH	272.105464503082	-0.777497078115081	0.279036527908829	-2.78636307562254	0.00533031317529347	0.0256872499601393
alr	310.981367191887	-0.102032503726423	0.289545673196641	-0.352388286794149	0.724547085131083	0.852274961404191
creB	162.301830861822	0.0705240284304648	0.305584100953816	0.230784351052097	0.817482339141671	0.903181826687222
creC	129.940961521283	-0.126234593977302	0.345341730273604	-0.365535302893427	0.714711859347665	0.844581129499222
creD	32.6232533775962	0.758257836893967	0.54206307159965	1.39883691884104	0.161861892494404	0.327869495639384
rffC	165.589972481676	-0.909241783362855	0.30469841522532	-2.98407125842937	0.00284440520293269	0.0155203593572924
dnaB	696.092165761377	-0.377731653701954	0.22527682294022	-1.67674441059651	0.0935924722333847	0.226658787435528
yhhI	2.54983129448431	-1.13894585275133	1.93286106065274	-0.589253866165996	0.555690987401029	NA
qorA	104.283128973824	-0.0558425586190523	0.357012799720529	-0.156416124751735	0.875705027895417	0.932486657025557
pck	2308.15798073393	-0.421146044554399	0.238812621473392	-1.76349994383074	0.0778162067480101	0.19928253401099
pspG	13.4996894978056	0.295569173086806	0.820114949694255	0.360399689332571	0.718548258914147	NA
dusA	220.478296694077	-0.00673800524196479	0.280750840824935	-0.0239999467932719	0.980852651148541	0.99096904172561
groS	2289.71493801344	-1.74558796353797	0.307392175712956	-5.67870004982824	1.35722237318223e-08	5.21759464599487e-07
yhaI	9.51409975320314	0.678540285090927	1.15597062155162	0.58698748258857	0.557212113578797	NA
yqjD	213.572091374703	0.410028331599344	0.278001673202623	1.47491317903145	0.140235886683645	0.29946891682958
cca	330.904276671419	-0.231639925837293	0.272568077965725	-0.849842459785117	0.395412679707067	0.587859815295664
bacA	290.630215406837	-0.51701860729301	0.272913781446776	-1.8944393520627	0.0581667172418075	0.162321280193604
mdtL	42.5339603636003	-0.2993244994527	0.488187929685627	-0.613133757005121	0.539787901176314	0.716962100384558
yjhU	268.120446241829	-0.820764162513669	0.273988084793977	-2.9956199121974	0.00273887590645998	0.0150660442139091
