gene	jh46	jh47	jh63	jh64
yjeK	396	229	174	172
ldrD	94	36	45	37
aphA	303	228	204	131
yhjV	167	66	85	56
dppF	82	94	79	55
yhjR	115	44	42	20
yhgE	154	91	59	54
bcsF	37	13	20	10
bcsG	348	87	132	104
dsrB	108	46	37	29
dppD	105	118	67	78
dppC	117	98	62	73
yhaK	61	13	30	24
yjjY	21	18	10	17
rffH	657	173	255	163
alr	493	283	291	224
creB	307	177	116	110
creC	294	132	86	83
creD	44	37	19	32
rffC	382	118	174	79
dnaB	1471	615	599	422
yhhI	6	3	3	0
qorA	224	105	70	71
pck	4172	2000	2329	1378
pspG	19	18	11	8
dusA	435	227	159	151
groS	7342	728	2377	985
yhaI	24	18	1	4
yqjD	333	243	144	173
cca	741	277	241	237
bacA	668	260	249	154
mdtL	89	33	35	31
yjhU	694	191	238	140
ibsD	29	16	19	15
rseC	694	211	159	134
rfaE	1837	533	712	390
glnE	777	409	336	243
ygiF	378	210	166	104
ygiM	614	137	125	91
nanR	282	137	104	92
dcuD	48	30	22	27
yjhG	129	57	48	87
cpdB	430	213	209	142
insH-10	0	0	0	0
yhcF	97	32	38	50
yhcG	169	124	115	139
yhcH	50	22	18	27
nanK	99	37	45	37
nanE	60	29	36	21
nanT	76	53	61	34
nanA	164	47	90	42
ibpA	792	186	163	208
rffD	1326	362	535	272
rffG	1006	312	461	227
bcsE	452	162	155	136
menB	893	448	435	415
menH	262	142	193	154
rfaQ	547	221	187	135
menD	614	300	336	314
menF	488	358	216	377
livM	80	69	36	43
yidL	23	28	8	12
elaB	126	303	49	221
elaA	65	66	27	40
lplT	413	217	189	176
aas	903	427	359	253
rbn	188	107	79	93
argH	266	118	84	100
ptsP	2990	1057	1286	798
rppH	1180	507	448	387
thyA	2035	550	811	391
elaD	42	29	9	21
ygdR	288	154	125	150
tas	1456	870	579	546
mutH	151	110	62	86
ygdQ	548	254	151	177
ytfJ	106	36	59	33
trpD	56	69	31	87
trpE	147	129	65	248
trpB	266	260	109	269
trpC	199	193	77	214
yciG	2	2	1	8
trpA	234	216	112	174
yciE	18	16	7	22
yciF	5	10	2	18
yjcH	17	28	11	24
yifB	48	32	22	20
nrfA	70	53	83	45
acs	102	336	86	195
nrfC	28	17	12	11
nrfB	30	8	13	10
trpL	6	1	3	6
yciV	486	221	152	234
hslO	2161	386	755	462
ydhC	152	131	77	67
livH	279	200	291	428
yijD	547	246	206	208
rpmG	6625	2305	3466	1954
fabR	1079	436	499	434
msrA	262	168	70	95
recD	862	172	330	179
dnaQ	452	153	141	137
ynaI	289	116	61	124
yafS	110	64	46	46
gloB	149	61	60	51
ykfM	2	1	1	0
yafT	46	23	18	17
tyrR	880	471	326	455
tpx	6089	2705	2540	3306
ycjG	164	144	70	140
mpaA	94	87	55	127
ycjY	26	27	14	17
ycjZ	82	58	14	59
sthA	1293	748	604	541
ytfM	572	298	265	226
ppiB	3161	1144	1233	811
lpxH	824	277	395	252
allD	30	22	11	20
allC	62	54	22	34
fdrA	19	12	7	11
ybcF	75	43	30	30
ylbF	17	11	9	13
purE	335	47	92	59
purK	668	80	185	77
ybjK	54	34	36	20
efeO	305	324	160	215
