gene	jh44	jh45	jh46	jh47	jh61	jh62	jh63	jh64
yjeK	1008	1130	396	229	970	904	174	172
ldrD	42	29	94	36	44	42	45	37
aphA	1463	3646	303	228	1989	2870	204	131
yhjV	449	323	167	66	727	358	85	56
dppF	182	636	82	94	383	531	79	55
yhjR	178	135	115	44	113	129	42	20
yhgE	152	125	154	91	156	130	59	54
bcsF	120	62	37	13	126	75	20	10
bcsG	707	394	348	87	653	403	132	104
dsrB	457	527	108	46	335	468	37	29
dppD	148	548	105	118	314	456	67	78
dppC	108	295	117	98	225	274	62	73
yhaK	144	215	61	13	128	209	30	24
yjjY	1	3	21	18	0	1	10	17
rffH	1074	688	657	173	899	818	255	163
alr	1207	1713	493	283	1292	1695	291	224
creB	250	174	307	177	238	195	116	110
creC	175	89	294	132	164	91	86	83
creD	14	20	44	37	9	12	19	32
rffC	330	172	382	118	290	243	174	79
dnaB	2699	2442	1471	615	2268	2341	599	422
yhhI	5	1	6	3	1	3	3	0
qorA	866	1048	224	105	526	798	70	71
pck	23014	21592	4172	2000	23374	22689	2329	1378
pspG	67	119	19	18	58	81	11	8
dusA	1789	1622	435	227	1561	1423	159	151
groS	45597	8338	7342	728	40405	21613	2377	985
yhaI	11	15	24	18	23	13	1	4
yqjD	2267	5196	333	243	1844	6254	144	173
cca	952	1082	741	277	763	951	241	237
bacA	1676	1453	668	260	1599	1500	249	154
mdtL	132	85	89	33	124	89	35	31
yjhU	1724	1005	694	191	1230	802	238	140
ibsD	1	2	29	16	0	1	19	15
rseC	964	507	694	211	657	585	159	134
rfaE	7094	3657	1837	533	6488	4650	712	390
glnE	1450	1788	777	409	1253	1998	336	243
ygiF	2611	3262	378	210	2286	3186	166	104
ygiM	3175	971	614	137	1550	971	125	91
nanR	1256	1061	282	137	924	936	104	92
dcuD	10	11	48	30	15	26	22	27
yjhG	182	210	129	57	234	223	48	87
cpdB	2322	2501	430	213	2383	2465	209	142
insH-10	0	0	0	0	0	0	0	0
yhcF	123	106	97	32	100	103	38	50
yhcG	33	35	169	124	53	35	115	139
yhcH	218	435	50	22	196	312	18	27
nanK	132	137	99	37	148	115	45	37
nanE	265	270	60	29	276	268	36	21
nanT	53	59	76	53	79	62	61	34
nanA	844	507	164	47	1068	541	90	42
ibpA	3069	1643	792	186	1456	2094	163	208
rffD	3075	1556	1326	362	2911	2007	535	272
rffG	1674	892	1006	312	1764	1213	461	227
bcsE	1050	619	452	162	908	779	155	136
menB	5459	6534	893	448	5113	8984	435	415
menH	182	114	262	142	163	207	193	154
rfaQ	1447	979	547	221	1063	895	187	135
menD	920	1065	614	300	980	1770	336	314
menF	825	1135	488	358	896	1576	216	377
livM	39	116	80	69	50	127	36	43
yidL	38	55	23	28	20	34	8	12
elaB	619	5925	126	303	307	5875	49	221
elaA	368	1078	65	66	280	1064	27	40
lplT	348	337	413	217	376	317	189	176
aas	1207	1366	903	427	1236	1222	359	253
rbn	829	812	188	107	650	880	79	93
argH	638	534	266	118	652	663	84	100
ptsP	4381	2536	2990	1057	3838	3042	1286	798
rppH	1330	1296	1180	507	1182	1080	448	387
thyA	10214	6243	2035	550	7982	5819	811	391
elaD	62	37	42	29	42	44	9	21
ygdR	1015	1273	288	154	803	999	125	150
tas	6827	12700	1456	870	5704	9937	579	546
mutH	390	338	151	110	313	277	62	86
ygdQ	841	442	548	254	747	524	151	177
ytfJ	743	517	106	36	812	571	59	33
trpD	75	110	56	69	79	206	31	87
trpE	79	136	147	129	80	253	65	248
trpB	1126	2510	266	260	1193	4223	109	269
trpC	235	768	199	193	282	1012	77	214
yciG	2	27	2	2	3	51	1	8
trpA	1030	2352	234	216	1004	3610	112	174
yciE	56	144	18	16	40	157	7	22
yciF	10	33	5	10	7	60	2	18
yjcH	47	237	17	28	79	202	11	24
yifB	38	34	48	32	30	36	22	20
nrfA	110	146	70	53	67	45	83	45
acs	220	2743	102	336	740	3147	86	195
nrfC	15	20	28	17	16	20	12	11
nrfB	10	16	30	8	22	19	13	10
trpL	7	23	6	1	16	81	3	6
yciV	704	563	486	221	556	917	152	234
hslO	10617	3779	2161	386	10515	6460	755	462
ydhC	320	562	152	131	446	612	77	67
livH	32	106	279	200	38	103	291	428
yijD	3152	4723	547	246	2246	4900	206	208
rpmG	29793	31374	6625	2305	26369	22483	3466	1954
fabR	2101	1829	1079	436	1450	1981	499	434
