,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
yjeK,-0.260867270913375,0.333974541027983,-0.258683248952223,0.355737585432568,-0.258683248952223,0.355737585432568,0.872958073218377
ldrD,-0.163120348908049,0.798556078198496,-0.164721954540906,0.787992610418894,-0.163120348908049,0.798556078198496,0.976469059057339
aphA,0.752211069672142,0.0202661788571468,0.747900679244558,0.0159019432666381,0.752211069672142,0.0202661788571468,0.341497727547191
yhjV,-0.534544619830186,0.137045661581731,-0.546124502479209,0.135152398438882,-0.534544619830186,0.137045661581731,0.706222874647957
dppF,0.568950131739387,0.194786113566243,0.571255320643522,0.177754481351399,0.568950131739387,0.194786113566243,0.793337139547734
yhjR,0.352642115160331,0.400837065694258,0.350683893762977,0.40964465956772,0.350683893762977,0.40964465956772,0.906372956240829
yhgE,-0.546283866263095,0.152970999245481,-0.548850496851016,0.174552816015674,-0.548850496851016,0.174552816015674,0.771337307768934
bcsF,-0.286875825691371,0.602223072865804,-0.307956194181972,0.501517327409022,-0.286875825691371,0.602223072865804,0.95105150508678
bcsG,-0.3317837524828,0.286485060903065,-0.330247207044131,0.243588093763652,-0.3317837524828,0.286485060903065,0.846494482515682
dsrB,0.441972951777896,0.225214829183696,0.431345081737799,0.165858040363469,0.441972951777896,0.225214829183696,0.806523299219567
dppD,0.208242295678144,0.574735150020877,0.205437811962135,0.631869072906948,0.205437811962135,0.631869072906948,0.953951035681955
dppC,0.0552948372451429,0.859568973282047,0.0466382669479279,0.904679362297088,0.0466382669479279,0.904679362297088,0.983792826051658
yhaK,1.10600706840303,0.0307375489729965,1.09092556112023,0.00420974248114393,1.10600706840303,0.0307375489729965,0.412885027118038
yjjY,1.27407850968076,0.32544420934492,0,0.92354767281386,0,0.92354767281386,0.986721152143406
rffH,0.191845909650116,0.469855614169944,0.18583990208588,0.489861540364972,0.18583990208588,0.489861540364972,0.92981115052075
alr,0.342921116545416,0.203251245431719,0.345099459235204,0.191977725680051,0.342921116545416,0.203251245431719,0.793337139547734
creB,-0.67109438338474,0.0382897060079259,-0.675314460333305,0.0561338046404388,-0.675314460333305,0.0561338046404388,0.498989046642473
creC,-0.989152579589901,0.0104138778774113,-0.989842517145252,0.0170101032178938,-0.989842517145252,0.0170101032178938,0.306571113322292
creD,-0.457130535752188,0.650727076403274,-0.47314655711936,0.66561967628887,-0.47314655711936,0.66561967628887,0.963531731370272
rffC,0.1301450170116,0.66479221514809,0.12801695663665,0.716544941285379,0.12801695663665,0.716544941285379,0.966828115103321
dnaB,0.128284121048118,0.563402242479929,0.127230597768231,0.608770252321373,0.127230597768231,0.608770252321373,0.951111197043871
yhhI,0,0.840137393181001,0.223780957049321,0.882519834096192,0.223780957049321,0.882519834096192,0.980819115014953
qorA,0.283144340184449,0.367776036441892,0.284026968853084,0.389785262109766,0.284026968853084,0.389785262109766,0.899385198538501
pck,0.14866278262828,0.522150723416106,0.148662780838673,0.526525137231073,0.148662780838673,0.526525137231073,0.936875549012108
pspG,0.196167907144911,0.75106842844117,0.172668325669971,0.723602338346034,0.196167907144911,0.75106842844117,0.970477172938429
dusA,-0.326472608193846,0.207273978109112,-0.326360897669077,0.210120082037596,-0.326360897669077,0.210120082037596,0.79822044261429
groS,0.00801888274987927,0.953946252768741,0.00821908235572955,0.96931265456663,0.00821908235572955,0.96931265456663,0.997318200002019
yhaI,-1.16681307083094,0.273655078022788,-1.18843469599196,0.262618851410599,-1.16681307083094,0.273655078022788,0.844262274606512
yqjD,0.867614788342605,0.000438589264602482,0.865886101403881,0.000720407057089527,0.865886101403881,0.000720407057089527,0.050440914807596
cca,0.282994964736597,0.280355608540393,0.28299496284072,0.307890229674444,0.28299496284072,0.307890229674444,0.855279390012706
bacA,0.167363076520425,0.500889554611735,0.167128209922706,0.510994972070775,0.167128209922706,0.510994972070775,0.933587720401355
mdtL,-0.447279184589203,0.311361954194371,-0.455086991980621,0.293437463878235,-0.447279184589203,0.311361954194371,0.855279390012706
yjhU,-0.0754009994119129,0.787703876173803,-0.0802058061639745,0.78483169795404,-0.0754009994119129,0.787703876173803,0.975858889915135
ibsD,1.54035470636342,0.238621204128271,0.533071204766685,0.86605412520851,0.533071204766685,0.86605412520851,0.97966543357693
rseC,-0.219144567587791,0.489503729864735,-0.218418898724361,0.463957924798669,-0.219144567587791,0.489503729864735,0.92981115052075
rfaE,-0.084682848274293,0.710963030293838,-0.0878860546321547,0.724233721527647,-0.0878860546321547,0.724233721527647,0.969114970201774
glnE,0.470007061357745,0.0536894252104053,0.470007057630853,0.0669554518997275,0.470007057630853,0.0669554518997275,0.542726726875835
ygiF,0.424234575930362,0.122012639024493,0.419606244484516,0.0870547782850078,0.424234575930362,0.122012639024493,0.67151862839813
ygiM,-0.556087599060619,0.119607814964432,-0.563616426725783,0.0984754945656084,-0.556087599060619,0.119607814964432,0.666292642757965
nanR,-0.205061733817409,0.468578556874117,-0.205254150036829,0.458219403543626,-0.205061733817409,0.468578556874117,0.926886273485528
dcuD,0.0436644963831867,0.864573951065439,0.0454662973480939,0.961422212654391,0.0454662973480939,0.961422212654391,0.997143932710966
yjhG,-0.571217322577234,0.151632165412695,-0.57247087015059,0.12731703155286,-0.571217322577234,0.151632165412695,0.729595051825776
cpdB,0.154916231179389,0.537755232727691,0.150063735773611,0.541710668673053,0.150063735773611,0.541710668673053,0.940663639695247
yhcF,-0.273339754301497,0.55372211975627,-0.270809672807513,0.530761787038862,-0.273339754301497,0.55372211975627,0.941609334108689
yhcG,-0.930627523025327,0.121392070930365,-0.93530274414343,0.17778596041157,-0.93530274414343,0.17778596041157,0.775637983336718
yhcH,0.44956110210622,0.327653795975223,0.433335409337469,0.2214888594832,0.44956110210622,0.327653795975223,0.865713770628094
nanK,-0.0112317839873795,0.974293069482336,-0.0208619663716538,0.951138356442513,-0.0112317839873795,0.974293069482336,0.997318200002019
nanE,0.201743106959118,0.622940225169071,0.200108497344695,0.553527980604573,0.201743106959118,0.622940225169071,0.951627483040544
nanT,-0.108754102951682,0.831994801179652,-0.125892005850527,0.82103494684031,-0.108754102951682,0.831994801179652,0.976768827611739
nanA,-0.125142715504209,0.711138501764329,-0.131798502634166,0.661386553588699,-0.125142715504209,0.711138501764329,0.966189238541394
ibpA,-0.0265168193128988,0.9245065584971,-0.0313517548775872,0.922498041916423,-0.0265168193128988,0.9245065584971,0.98684948143647
rffD,-0.0271819126857098,0.903706812999725,-0.0338194974950186,0.898201735377027,-0.0271819126857098,0.903706812999725,0.983792826051658
rffG,-0.060700934931484,0.811350622349811,-0.0627029388140796,0.813606942674411,-0.0627029388140796,0.813606942674411,0.976469059057339
bcsE,-0.344419512634084,0.21818468106932,-0.347189691374318,0.218950090284337,-0.347189691374318,0.218950090284337,0.805428714551452
